Time (s);Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run1;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run2;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run3;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run4;Ay (m/s²) --sensor: Accelerometer --remote: 1 --Run5;Fᵧ (N) --sensor: Force --remote: 1 --Run1;Fᵧ (N) --sensor: Force --remote: 1 --Run2;Fᵧ (N) --sensor: Force --remote: 1 --Run3;Fᵧ (N) --sensor: Force --remote: 1 --Run4;Fᵧ (N) --sensor: Force --remote: 1 --Run5
0.6200000000;-9.8620289666;-9.8185469184;-9.6656504406;-9.8598916781;-7.8671722256;-2.3340588427;-2.7560565798;-2.2726457684;-2.6272262601;-1.7734169071
0.6300000000;-9.8701661983;-9.8309183951;-9.6667354049;-9.8656643331;-7.8261677044;-2.3320777757;-2.7560260945;-2.2746268354;-2.6272567454;-1.7615305056
0.6400000000;-9.8685387520;-9.8417951567;-9.6786700114;-9.8616141834;-7.7977631598;-2.3320777757;-2.7579775866;-2.2766079023;-2.6272567454;-1.7536062380
0.6500000000;-9.8620289666;-9.8467676525;-9.7009117782;-9.8535852151;-7.7839794665;-2.3300967088;-2.7560552343;-2.2766079023;-2.6272567454;-1.7476630372
0.6600000000;-9.8533492527;-9.8420279019;-9.7285783661;-9.8480794906;-7.7837799808;-2.3281156419;-2.7560260945;-2.2766079023;-2.6272567454;-1.7417198365
0.6700000000;-9.8511793242;-9.8360750898;-9.7573299182;-9.8468700420;-7.7987524423;-2.3261345750;-2.7540733344;-2.2785889692;-2.6292095055;-1.7397387696
0.6800000000;-9.8430420925;-9.8210143054;-9.7893363630;-9.8426202092;-7.8208979194;-2.3261345750;-2.7520918687;-2.2785889692;-2.6292378123;-1.7397387696
0.6900000000;-9.8262251469;-9.7999374252;-9.8164604688;-9.8345854014;-7.8570526400;-2.3241535081;-2.7520639607;-2.2805700361;-2.6272842656;-1.7417198365
0.7000000000;-9.8066957907;-9.7803817434;-9.8452120210;-9.8269729686;-7.9046418993;-2.3221724412;-2.7501100369;-2.2805700361;-2.6253028215;-1.7456819703
0.7100000000;-9.7871664346;-9.7694111687;-9.8669113056;-9.8162074148;-7.9604164164;-2.3201913743;-2.7520371846;-2.2825511030;-2.6252756785;-1.7536062380
0.7200000000;-9.7774017565;-9.7681940293;-9.8858981797;-9.8042975590;-8.0291480928;-2.3201913743;-2.7540186086;-2.2825511030;-2.6272303264;-1.7635115725
0.7300000000;-9.7779442386;-9.7719269611;-9.9016301610;-9.7870750008;-8.1082269307;-2.3182103074;-2.7540450276;-2.2825511030;-2.6272567454;-1.7753979740
0.7400000000;-9.7817416134;-9.7735832424;-9.9103098749;-9.7660098128;-8.1949389606;-2.3182103074;-2.7540450276;-2.2825511030;-2.6292120797;-1.7892654423
0.7500000000;-9.7909638094;-9.7805662204;-9.9146497318;-9.7416736730;-8.2946031836;-2.3182103074;-2.7520893632;-2.2845321699;-2.6311934767;-1.8070950445
0.7600000000;-9.8034408981;-9.7876196330;-9.9162771781;-9.7209566555;-8.4030059260;-2.3182103074;-2.7520639607;-2.2865132368;-2.6292628932;-1.8249246467
0.7700000000;-9.8137480583;-9.7968158170;-9.9135647676;-9.7130339673;-8.5222335249;-2.3182103074;-2.7520639607;-2.2865132368;-2.6292378123;-1.8427542489
0.7800000000;-9.8240552185;-9.8108614907;-9.9151922139;-9.7213143345;-8.6453485031;-2.3182103074;-2.7501073552;-2.2865132368;-2.6311944178;-1.8645459849
0.7900000000;-9.8343623787;-9.8238964193;-9.9108523570;-9.7411141359;-8.7744050123;-2.3182103074;-2.7500828938;-2.2865132368;-2.6312188792;-1.8883187879
0.8000000000;-9.8484669137;-9.8278068350;-9.9043425716;-9.7733716670;-8.9105020225;-2.3182103074;-2.7481256987;-2.2865132368;-2.6312188792;-1.9140726577
0.8100000000;-9.8598590381;-9.8224923626;-9.8945778935;-9.8075188618;-9.0504367335;-2.3182103074;-2.7461443475;-2.2865132368;-2.6312188792;-1.9398265275
0.8200000000;-9.8739635731;-9.8143862859;-9.8821008049;-9.8422344563;-9.1984582163;-2.3182103074;-2.7461207600;-2.2865132368;-2.6331766362;-1.9675614643
0.8300000000;-9.8983752683;-9.8132181937;-9.8685387520;-9.8647724176;-9.3535463551;-2.3162292405;-2.7480787881;-2.2865132368;-2.6331999461;-1.9952964010
0.8400000000;-9.9336366059;-9.8094518551;-9.8560616633;-9.8758868544;-9.5140794437;-2.3142481736;-2.7481018269;-2.2845321699;-2.6312416531;-2.0230313377
0.8500000000;-9.9629306401;-9.8035087172;-9.8457545031;-9.8713609060;-9.6837925166;-2.3122671066;-2.7481018269;-2.2825511030;-2.6331774310;-2.0527473414
0.8600000000;-9.9585907832;-9.7948587215;-9.8376172714;-9.8510950526;-9.8557566513;-2.3102860397;-2.7481018269;-2.2825511030;-2.6351587510;-2.0824633451
0.8700000000;-9.9808325499;-9.7802769320;-9.8343623787;-9.8235784596;-10.0352553122;-2.3083049728;-2.7481018269;-2.2825511030;-2.6351810130;-2.1101982818
0.8800000000;-10.0513552250;-9.7624090056;-9.8327349323;-9.7921904541;-10.2180579455;-2.3043428390;-2.7481018269;-2.2825511030;-2.6371403073;-2.1379332185
0.8900000000;-10.1826358970;-9.7547000691;-9.8316499681;-9.7649656362;-10.3992865085;-2.3003807052;-2.7481018269;-2.2825511030;-2.6352025489;-2.1656681553
0.9000000000;-10.3084917479;-9.7562274525;-9.8300225217;-9.7516396905;-10.5794234230;-2.2964185714;-2.7481018269;-2.2825511030;-2.6351810130;-2.1914220251
0.9100000000;-10.4180731353;-9.7675158717;-9.8278525933;-9.7481762616;-10.7584746740;-2.2924564375;-2.7481018269;-2.2825511030;-2.6351810130;-2.2151948280
0.9200000000;-10.5086676486;-9.7848137548;-9.8208003258;-9.7635118821;-10.9283887167;-2.2884943037;-2.7461416157;-2.2825511030;-2.6351810130;-2.2409486979
0.9300000000;-10.6322850470;-9.8043224092;-9.8110356477;-9.8166546203;-11.0837098159;-2.2845321699;-2.7461207600;-2.2825511030;-2.6351810130;-2.2647215008
0.9400000000;-10.7171876130;-9.8511567208;-9.7921504890;-9.8406911129;-11.3474128100;-2.2785889692;-2.7461207600;-2.2825511030;-2.6351810130;-2.2865132368
0.9500000000;-10.7712233995;-9.8814869612;-9.7796990156;-9.8619365522;-11.4574245759;-2.2706647015;-2.7480816098;-2.2825511030;-2.6351810130;-2.3083049728
0.9600000000;-10.7733824806;-9.9049609069;-9.7661466366;-9.8815205526;-11.5494843152;-2.2607593670;-2.7500628810;-2.2825511030;-2.6351810130;-2.3300967088
0.9700000000;-10.7062668278;-9.9102131757;-9.7498979297;-9.8878925481;-11.6262933006;-2.2528350993;-2.7500828938;-2.2805700361;-2.6351810130;-2.3499073779
0.9800000000;-10.6320045218;-9.8986093257;-9.7395300696;-9.8791145965;-11.6852473134;-2.2429297648;-2.7520443443;-2.2805700361;-2.6391039139;-2.3637748463
0.9900000000;-10.5576772556;-9.8792251952;-9.7313705612;-9.8525044517;-11.7252284149;-2.2310433633;-2.7520639607;-2.2825511030;-2.6391431468;-2.3776423147
1.0000000000;-10.4838873444;-9.8612883341;-9.7323652062;-9.8195761259;-11.7525999075;-2.2191569619;-2.7520639607;-2.2825511030;-2.6391431468;-2.3915097831
