Time (s);Fᵧ (N)
1.7900000000;-0.0716804311
1.8000000000;-0.0716804311
1.8100000000;-0.0716804311
1.8200000000;-0.0716804311
1.8300000000;-0.0716804311
1.8400000000;-0.0716804311
1.8500000000;-0.0716804311
1.8600000000;-0.0716804311
1.8700000000;-0.0716804311
1.8800000000;-0.0716804311
1.8900000000;-0.0716804311
1.9000000000;-0.0716804311
1.9100000000;-0.0538508290
1.9200000000;-0.0716804311
1.9300000000;-0.0716804311
1.9400000000;-0.0716804311
1.9500000000;-0.0716804311
1.9600000000;-0.0716804311
1.9700000000;-0.0716804311
1.9800000000;-0.0716804311
1.9900000000;-0.0716804311
2.0000000000;-0.0716804311
2.0100000000;-0.0716804311
2.0200000000;-0.0716804311
2.0300000000;-0.0716804311
2.0400000000;-0.0716804311
2.0500000000;-0.0716804311
2.0600000000;-0.0895100333
2.0700000000;-0.0716804311
2.0800000000;-0.0181916246
2.0900000000;-0.0538508290
2.1000000000;-0.0538508290
2.1100000000;-0.0181916246
2.1200000000;-0.0538508290
2.1300000000;-0.0538508290
2.1400000000;-0.1251692377
2.1500000000;-0.3391244640
2.1600000000;0.0174675798
2.1700000000;0.8197996785
2.1800000000;0.5345260434
2.1900000000;0.1957636017
2.2000000000;0.0887859886
2.2100000000;0.0174675798
2.2200000000;0.3918892259
2.2300000000;0.7663108719
2.2400000000;0.8732884850
2.2500000000;0.8911180872
2.2600000000;-0.2499764531
2.2700000000;0.1957636017
2.2800000000;0.1957636017
2.2900000000;0.0174675798
2.3000000000;0.1957636017
2.3100000000;0.0887859886
2.3200000000;-0.1251692377
2.3300000000;-0.3926132706
2.3400000000;-0.5530796903
2.3500000000;-0.5530796903
2.3600000000;-0.6600573035
2.3700000000;-0.6065684969
2.3800000000;-0.7313757123
2.3900000000;-0.8205237232
2.4000000000;-0.8740125298
2.4100000000;-0.7135461101
2.4200000000;-1.1057973583
2.4300000000;-1.3732413912
2.4400000000;-1.2662637780
2.4500000000;-1.4802190043
2.4600000000;-1.5693670153
2.4700000000;-1.6406854241
2.4800000000;-1.5515374131
2.4900000000;-1.4802190043
2.5000000000;-1.5871966175
2.5100000000;-1.5693670153
2.5200000000;-1.5158782087
2.5300000000;-1.3910709934
2.5400000000;-1.2662637780
2.5500000000;-1.1771157671
2.5600000000;-1.1057973583
2.5700000000;-0.9275013364
2.5800000000;-0.9275013364
2.5900000000;-0.9275013364
