Time (s);Fᵧ (N)
0.0000000000;0.0352971820
0.0050000000;0.0174675798
0.0100000000;0.0352971820
0.0150000000;0.0352971820
0.0320000000;0.0352971820
0.0416666667;0.0174675798
0.0514285714;0.0352971820
0.0612500000;0.0174675798
0.0711111111;0.0174675798
0.0810000000;0.0174675798
0.0909090909;0.0174675798
0.1008333333;0.0174675798
0.1107692308;0.0174675798
0.1207142857;0.0174675798
0.1306666667;0.0174675798
0.1406250000;0.0174675798
0.1505882353;-0.0003620224
0.1605555556;-0.0003620224
0.1705263158;0.0174675798
0.1805000000;0.0174675798
0.1904761905;0.0174675798
0.2004545455;0.0352971820
0.2104347826;0.0174675798
0.2204166667;0.0174675798
0.2304000000;0.0174675798
0.2403846154;-0.0003620224
0.2503703704;0.0174675798
0.2603571429;-0.0003620224
0.2703448276;-0.0003620224
0.2803333333;-0.0003620224
0.2903225806;-0.0003620224
0.3003125000;0.0174675798
0.3103030303;-0.0003620224
0.3202941176;-0.0003620224
0.3302857143;-0.0003620224
0.3402777778;-0.0003620224
0.3502702703;-0.0003620224
0.3602631579;-0.0003620224
0.3702564103;-0.0003620224
0.3802500000;-0.0003620224
0.3902439024;-0.0003620224
0.4002380952;-0.0003620224
0.4102325581;-0.0003620224
0.4202272727;-0.0003620224
0.4302222222;-0.0003620224
0.4402173913;-0.0003620224
0.4502127660;-0.0003620224
0.4602083333;-0.0003620224
0.4702040816;0.0174675798
0.4802000000;-0.0003620224
0.4901960784;-0.0003620224
0.5001923077;-0.0003620224
0.5101886792;-0.0003620224
0.5201851852;-0.0003620224
0.5301818182;-0.0003620224
0.5401785714;-0.0181916246
0.5501754386;-0.0003620224
0.5601724138;-0.0181916246
0.5701694915;-0.0181916246
0.5801666667;-0.0003620224
0.5901639344;-0.0003620224
0.6001612903;-0.0181916246
0.6101587302;-0.0003620224
0.6201562500;-0.0003620224
0.6301538462;-0.0181916246
0.6401515152;-0.0181916246
0.6501492537;-0.0003620224
0.6601470588;-0.0003620224
0.6701449275;-0.0003620224
0.6801428571;-0.0003620224
0.6901408451;-0.0003620224
0.7001388889;-0.0181916246
0.7101369863;-0.0003620224
0.7201351351;-0.0003620224
0.7301333333;-0.0003620224
0.7401315789;-0.0003620224
0.7501298701;-0.0003620224
0.7601282051;-0.0003620224
0.7701265823;-0.0003620224
0.7801250000;-0.0003620224
0.7901234568;-0.0003620224
0.8001219512;-0.0003620224
0.8101204819;-0.0003620224
0.8201190476;-0.0003620224
0.8301176471;-0.0003620224
0.8401162791;-0.0003620224
0.8501149425;-0.0003620224
0.8601136364;-0.0003620224
0.8701123596;-0.0003620224
0.8801111111;-0.0003620224
0.8901098901;-0.0003620224
0.9001086957;-0.0003620224
0.9101075269;-0.0003620224
0.9201063830;-0.0003620224
